class,x1-x0,y1-y0,z1-z0,x2-x1,y2-y1,z2-z1,x3-x2,y3-y2,z3-z2,x4-x3,y4-y3,z4-z3,x5-x4,y5-y4,z5-z4,x6-x5,y6-y5,z6-z5,x7-x6,y7-y6,z7-z6,x8-x7,y8-y7,z8-z7,x9-x8,y9-y8,z9-z8,x10-x9,y10-y9,z10-z9,x11-x10,y11-y10,z11-z10,x12-x11,y12-y11,z12-z11,x13-x12,y13-y12,z13-z12,x14-x13,y14-y13,z14-z13,x15-x14,y15-y14,z15-z14,x16-x15,y16-y15,z16-z15,x17-x16,y17-y16,z17-z16,x18-x17,y18-y17,z18-z17,x19-x18,y19-y18,z19-z18,x20-x19,y20-y19,z20-z19,x21-x20,y21-y20,z21-z20,x22-x21,y22-y21,z22-z21,x23-x22,y23-y22,z23-z22,x24-x23,y24-y23,z24-z23,x25-x24,y25-y24,z25-z24,x26-x25,y26-y25,z26-z25,x27-x26,y27-y26,z27-z26,x28-x27,y28-y27,z28-z27,x29-x28,y29-y28,z29-z28,x30-x29,y30-y29,z30-z29,x31-x30,y31-y30,z31-z30,x32-x31,y32-y31,z32-z31,x33-x32,y33-y32,z33-z32,x34-x33,y34-y33,z34-z33,x35-x34,y35-y34,z35-z34,x36-x35,y36-y35,z36-z35,x37-x36,y37-y36,z37-z36,x38-x37,y38-y37,z38-z37,x39-x38,y39-y38,z39-z38,x40-x39,y40-y39,z40-z39,x41-x40,y41-y40,z41-z40,x42-x41,y42-y41,z42-z41,x43-x42,y43-y42,z43-z42,x44-x43,y44-y43,z44-z43,minx,miny,mine,maxx,maxy,maxe
2,0,0,0.0,0,0,0.0,-1,0,1.0,1,-1,1.4142135623730951,1,0,1.0,1,-1,1.4142135623730951,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1.0,0,0,0.0,0,-1,1.0,2,-1,2.23606797749979,4,-3,5.0,6,-3,6.708203932499369,6,-3,6.708203932499369,5,-3,5.830951894845301,5,-2,5.385164807134504,5,-1,5.0990195135927845,5,-1,5.0990195135927845,7,-1,7.0710678118654755,11,0,11.0,11,0,11.0,9,-1,9.055385138137417,7,-2,7.280109889280518,6,-1,6.082762530298219,7,-1,7.0710678118654755,2,-1,2.23606797749979,-3,0,3.0,-12,-1,12.041594578792296,-17,0,17.0,-16,2,16.1245154965971,-13,0,13.0,-11,-1,11.045361017187261,-13,-1,13.038404810405298,-13,-1,13.038404810405298,-13,-1,13.038404810405298,-11,1,11.045361017187261,-12,1,12.041594578792296,-14,1,14.035668847618199,-6,-3,6.708203932499369,-1,0,1.0,-4,7,8.06225774829855,-11,16,19.4164878389476,0,0,0.0,17,16,19.4164878389476
2,1,0,1.0,1,0,1.0,0,0,0.0,1,-1,1.4142135623730951,1,-1,1.4142135623730951,1,-1,1.4142135623730951,1,-3,3.1622776601683795,1,-3,3.1622776601683795,1,-2,2.23606797749979,3,-4,5.0,2,-5,5.385164807134504,2,-5,5.385164807134504,2,-5,5.385164807134504,2,-6,6.324555320336759,2,-7,7.280109889280518,2,-8,8.246211251235321,1,-6,6.082762530298219,0,-7,7.0,0,-7,7.0,1,-8,8.06225774829855,0,-8,8.0,1,-9,9.055385138137417,1,-9,9.055385138137417,1,-7,7.0710678118654755,1,-7,7.0710678118654755,1,-5,5.0990195135927845,2,-6,6.324555320336759,2,-5,5.385164807134504,2,-1,2.23606797749979,0,1,1.0,1,3,3.1622776601683795,3,6,6.708203932499369,3,6,6.708203932499369,5,5,7.0710678118654755,4,6,7.211102550927978,1,8,8.06225774829855,0,13,13.0,-2,16,16.1245154965971,-3,16,16.278820596099706,-6,16,17.08800749063506,-6,15,16.15549442140351,-3,11,11.40175425099138,5,4,6.4031242374328485,11,-2,11.180339887498949,0,0,0.0,11,16,17.08800749063506
2,1,0,1.0,2,0,2.0,1,0,1.0,2,0,2.0,0,0,0.0,2,-1,2.23606797749979,2,-2,2.8284271247461903,2,-2,2.8284271247461903,2,-1,2.23606797749979,3,-3,4.242640687119285,3,-3,4.242640687119285,2,-4,4.47213595499958,4,-4,5.656854249492381,3,-4,5.0,3,-6,6.708203932499369,3,-6,6.708203932499369,2,-5,5.385164807134504,1,-6,6.082762530298219,2,-6,6.324555320336759,2,-6,6.324555320336759,1,-8,8.06225774829855,3,-7,7.615773105863909,2,-8,8.246211251235321,2,-7,7.280109889280518,2,-6,6.324555320336759,1,-5,5.0990195135927845,3,-6,6.708203932499369,3,-4,5.0,1,-1,1.4142135623730951,0,1,1.0,1,3,3.1622776601683795,2,4,4.47213595499958,2,6,6.324555320336759,4,4,5.656854249492381,2,5,5.385164807134504,1,7,7.0710678118654755,-2,11,11.180339887498949,-4,13,13.601470508735444,-6,14,15.231546211727817,-7,14,15.652475842498529,-8,13,15.264337522473747,-4,8,8.94427190999916,4,3,5.0,12,-1,12.041594578792296,0,0,0.0,12,14,15.652475842498529
2,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1.0,-1,-1,1.4142135623730951,0,0,0.0,0,-2,2.0,1,-1,1.4142135623730951,0,-2,2.0,1,-4,4.123105625617661,2,-3,3.605551275463989,0,-4,4.0,2,-4,4.47213595499958,1,-5,5.0990195135927845,1,-6,6.082762530298219,1,-6,6.082762530298219,0,-5,5.0,0,-5,5.0,0,-5,5.0,-1,-6,6.082762530298219,1,-7,7.0710678118654755,0,-8,8.0,0,-8,8.0,1,-6,6.082762530298219,0,-6,6.0,0,-5,5.0,2,-6,6.324555320336759,2,-4,4.47213595499958,1,-1,1.4142135623730951,1,0,1.0,2,4,4.47213595499958,4,5,6.4031242374328485,3,7,7.615773105863909,6,4,7.211102550927978,4,4,5.656854249492381,3,8,8.54400374531753,1,13,13.038404810405298,0,16,16.0,-1,15,15.033296378372908,-4,16,16.492422502470642,-3,15,15.297058540778355,-2,10,10.198039027185569,5,4,6.4031242374328485,11,-3,11.40175425099138,0,0,0.0,11,16,16.492422502470642
2,0,0,0.0,0,0,0.0,0,1,1.0,0,-1,1.0,1,0,1.0,0,-1,1.0,0,-1,1.0,1,0,1.0,0,0,0.0,0,0,0.0,0,0,0.0,1,-1,1.4142135623730951,1,-1,1.4142135623730951,1,-4,4.123105625617661,3,-5,5.830951894845301,4,-4,5.656854249492381,3,-4,5.0,3,-4,5.0,4,-2,4.47213595499958,3,-4,5.0,5,-4,6.4031242374328485,6,-4,7.211102550927978,7,-5,8.602325267042627,7,-5,8.602325267042627,5,-6,7.810249675906654,6,-4,7.211102550927978,6,-3,6.708203932499369,3,-3,4.242640687119285,0,0,0.0,-4,3,5.0,-7,7,9.899494936611665,-7,7,9.899494936611665,-6,5,7.810249675906654,-6,3,6.708203932499369,-9,4,9.848857801796104,-13,4,13.601470508735444,-11,4,11.704699910719626,-10,4,10.770329614269007,-10,4,10.770329614269007,-10,5,11.180339887498949,-7,1,7.0710678118654755,-8,1,8.06225774829855,-9,10,13.45362404707371,-7,20,21.18962010041709,0,0,0.0,13,20,21.18962010041709
2,0,0,0.0,0,0,0.0,-1,0,1.0,1,0,1.0,1,-1,1.4142135623730951,0,-1,1.0,1,-1,1.4142135623730951,0,0,0.0,0,0,0.0,1,0,1.0,0,0,0.0,0,-1,1.0,1,-2,2.23606797749979,3,-4,5.0,2,-5,5.385164807134504,5,-5,7.0710678118654755,2,-5,5.385164807134504,4,-4,5.656854249492381,3,-3,4.242640687119285,3,-3,4.242640687119285,5,-4,6.4031242374328485,7,-5,8.602325267042627,8,-5,9.433981132056603,7,-4,8.06225774829855,5,-5,7.0710678118654755,6,-4,7.211102550927978,5,-3,5.830951894845301,3,-2,3.605551275463989,-2,0,2.0,-8,3,8.54400374531753,-11,6,12.529964086141668,-11,6,12.529964086141668,-8,4,8.94427190999916,-7,3,7.615773105863909,-9,3,9.486832980505138,-9,3,9.486832980505138,-10,4,10.770329614269007,-9,3,9.486832980505138,-9,4,9.848857801796104,-10,4,10.770329614269007,-5,0,5.0,-2,2,2.8284271247461903,-4,9,9.848857801796104,-6,18,18.973665961010276,0,0,0.0,11,18,18.973665961010276
2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,-1,1.4142135623730951,0,-1,1.0,1,0,1.0,0,0,0.0,0,0,0.0,1,0,1.0,0,0,0.0,0,0,0.0,1,-2,2.23606797749979,3,-3,4.242640687119285,4,-4,5.656854249492381,5,-3,5.830951894845301,3,-4,5.0,4,-3,5.0,3,-2,3.605551275463989,3,-2,3.605551275463989,6,-2,6.324555320336759,7,-3,7.615773105863909,8,-3,8.54400374531753,6,-4,7.211102550927978,5,-3,5.830951894845301,5,-3,5.830951894845301,6,-2,6.324555320336759,2,-1,2.23606797749979,-3,-1,3.1622776601683795,-10,1,10.04987562112089,-14,3,14.317821063276353,-14,3,14.317821063276353,-10,3,10.44030650891055,-8,0,8.0,-9,2,9.219544457292887,-10,1,10.04987562112089,-9,2,9.219544457292887,-8,3,8.54400374531753,-10,2,10.198039027185569,-11,2,11.180339887498949,-3,-1,3.1622776601683795,0,1,1.0,-2,8,8.246211251235321,-6,16,17.08800749063506,0,0,0.0,14,16,17.08800749063506
2,2,0,2.0,1,1,1.4142135623730951,2,0,2.0,2,1,2.23606797749979,1,0,1.0,2,-1,2.23606797749979,2,0,2.0,2,-1,2.23606797749979,2,-1,2.23606797749979,4,-1,4.123105625617661,3,-2,3.605551275463989,3,-2,3.605551275463989,3,-3,4.242640687119285,4,-3,5.0,3,-4,5.0,4,-5,6.4031242374328485,3,-4,5.0,2,-4,4.47213595499958,2,-4,4.47213595499958,3,-5,5.830951894845301,3,-6,6.708203932499369,3,-7,7.615773105863909,4,-6,7.211102550927978,3,-6,6.708203932499369,3,-6,6.708203932499369,2,-4,4.47213595499958,3,-5,5.830951894845301,4,-4,5.656854249492381,0,0,0.0,0,0,0.0,0,2,2.0,2,4,4.47213595499958,1,4,4.123105625617661,4,4,5.656854249492381,1,5,5.0990195135927845,0,6,6.0,-4,8,8.94427190999916,-5,11,12.083045973594572,-7,12,13.892443989449804,-9,12,15.0,-9,11,14.212670403551895,-5,7,8.602325267042627,4,3,5.0,12,-1,12.041594578792296,0,0,0.0,12,12,15.0
2,1,0,1.0,1,0,1.0,1,0,1.0,1,0,1.0,0,-1,1.0,1,-1,1.4142135623730951,0,-1,1.0,1,-1,1.4142135623730951,1,-2,2.23606797749979,3,-2,3.605551275463989,2,-3,3.605551275463989,2,-2,2.8284271247461903,2,-3,3.605551275463989,2,-4,4.47213595499958,2,-5,5.385164807134504,3,-4,5.0,1,-4,4.123105625617661,1,-4,4.123105625617661,1,-4,4.123105625617661,1,-5,5.0990195135927845,2,-6,6.324555320336759,1,-6,6.082762530298219,1,-7,7.0710678118654755,2,-6,6.324555320336759,1,-5,5.0990195135927845,1,-4,4.123105625617661,2,-6,6.324555320336759,2,-4,4.47213595499958,2,-1,2.23606797749979,0,1,1.0,1,3,3.1622776601683795,3,5,5.830951894845301,3,5,5.830951894845301,4,3,5.0,3,4,5.0,1,6,6.082762530298219,-1,12,12.041594578792296,-2,13,13.152946437965905,-4,14,14.560219778561036,-6,13,14.317821063276353,-6,12,13.416407864998739,-3,9,9.486832980505138,5,3,5.830951894845301,11,-2,11.180339887498949,0,0,1.0,11,14,14.560219778561036
2,0,0,0.0,0,0,0.0,-1,0,1.0,1,0,1.0,0,0,0.0,0,-1,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1.0,4,-2,4.47213595499958,4,-3,5.0,4,-1,4.123105625617661,3,-2,3.605551275463989,3,-1,3.1622776601683795,5,-1,5.0990195135927845,7,-1,7.0710678118654755,8,-1,8.06225774829855,3,-1,3.1622776601683795,5,-2,5.385164807134504,5,-2,5.385164807134504,5,-1,5.0990195135927845,2,-1,2.23606797749979,-2,0,2.0,-11,-1,11.045361017187261,-16,0,16.0,-15,1,15.033296378372908,-13,0,13.0,-9,-1,9.055385138137417,-11,-2,11.180339887498949,-10,0,10.0,-10,0,10.0,-9,1,9.055385138137417,-11,1,11.045361017187261,-12,0,12.0,-2,-2,2.8284271247461903,0,1,1.0,-2,6,6.324555320336759,-8,14,16.1245154965971,0,0,0.0,16,14,16.1245154965971
